feature,importance
body_height_change,0.22580863575537402
vertical_drop,0.12666751638833376
body_height_range,0.10903623056742248
vertical_range,0.07862063439347183
center_acceleration_mean,0.07142232376091973
mean_joint_speed,0.055061027579428067
torso_angle_std,0.03874562220161226
torso_angle_max,0.03567432603939494
center_speed_mean,0.035520896206090086
torso_angle_mean,0.03341573486544838
std_joint_speed,0.027679650779084727
instability_score,0.027227771416119293
sudden_vertical_change,0.025523585229631173
center_speed_max,0.023840742258059513
center_speed_std,0.023475904290259586
center_acceleration_std,0.022910834329183526
max_joint_speed,0.022162382754560516
center_acceleration_max,0.01720618118560606
