model,protocol,accuracy,macro_f1,weighted_f1,high_risk_recall,high_risk_support
Baseline RandomForest (18 motion features),Cross-Subject,0.8748,0.8618,0.8736,0.7485,167.0
Posture RandomForest (4-class: Lying/Sitting/Standing/Walking),Cross-Subject,0.7415,0.7471,0.7388,,
"ST-GCN (3M params, 14-joint skeleton)",Cross-Subject,0.9186,0.9071,0.9186,0.8263,167.0
Fusion MLP (ST-GCN + RF + 18 features),Cross-Subject,0.9424,0.9354,0.9423,0.8743,167.0
Baseline RandomForest (18 motion features),Cross-View,0.9091,0.8995,0.9087,0.8291,316.0
Posture RandomForest (4-class: Lying/Sitting/Standing/Walking),Cross-View,0.7797,0.7872,0.7795,,
"ST-GCN (3M params, 14-joint skeleton)",Cross-View,0.8889,0.8767,0.8887,0.8829,316.0
Fusion MLP (ST-GCN + RF + 18 features),Cross-View,0.9407,0.9346,0.9406,0.9019,316.0
Baseline RandomForest (18 motion features),Cross-Dataset (NTU -> UR),0.2,0.15,,0.0,
Baseline RandomForest (18 motion features),Cross-Dataset (UR -> NTU),0.2691,0.2206,,0.4895,
Posture RandomForest (4-class: Lying/Sitting/Standing/Walking),Cross-Dataset (NTU -> UR),0.2333,0.0946,,,
Fusion MLP (ST-GCN + RF + 18 features),Cross-Dataset (NTU -> UR),0.0,0.0,,0.0,
"ST-GCN (3M params, 14-joint skeleton)",Cross-Dataset (NTU -> UR),0.0444,0.0556,0.0556,0.0,30.0
