epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.7351,0.7735,0.405,0.9031,0.001
2,0.3145,0.9382,0.2598,0.9088,0.000999
3,0.1919,0.9545,0.2044,0.9293,0.000998
4,0.1382,0.9676,0.2102,0.9122,0.000996
5,0.1281,0.9641,0.1901,0.9213,0.000994
6,0.1056,0.9673,0.1744,0.9361,0.000991
7,0.093,0.9712,0.1712,0.9361,0.000988
8,0.0837,0.9773,0.1795,0.9327,0.000984
9,0.0816,0.9756,0.1857,0.9339,0.00098
10,0.074,0.9785,0.1753,0.9373,0.000976
11,0.0695,0.9779,0.1821,0.9316,0.00097
12,0.0607,0.9779,0.1726,0.9441,0.000965
13,0.0541,0.9805,0.1791,0.9396,0.000959
14,0.0551,0.9798,0.2258,0.9168,0.000952
15,0.0588,0.9808,0.1934,0.9316,0.000946
16,0.0445,0.9849,0.1834,0.9373,0.000938
17,0.0393,0.9875,0.1864,0.9396,0.00093
18,0.04,0.9865,0.2112,0.9316,0.000922
19,0.0419,0.9872,0.1953,0.9373,0.000914
20,0.0389,0.9859,0.2153,0.927,0.000905
21,0.0423,0.9843,0.2118,0.935,0.000895
22,0.0376,0.9897,0.2045,0.9316,0.000885
23,0.0405,0.9881,0.2145,0.9304,0.000875
24,0.0386,0.9869,0.2244,0.9327,0.000864
25,0.031,0.9894,0.2203,0.9373,0.000854
26,0.0399,0.9865,0.2243,0.9339,0.000842
27,0.0345,0.9897,0.2235,0.9361,0.000831
