sequence_id,center_speed_mean,center_speed_max,center_speed_std,center_acceleration_mean,center_acceleration_max,center_acceleration_std,vertical_range,vertical_drop,sudden_vertical_change,torso_angle_mean,torso_angle_max,torso_angle_std,body_height_change,body_height_range,mean_joint_speed,max_joint_speed,std_joint_speed,instability_score,rf_prob_low,rf_prob_moderate,rf_prob_high,stgcn_logit_low,stgcn_logit_moderate,stgcn_logit_high,split,dataset,risk_level
S001C001P001R001A008,0.015984423,0.11056037,0.01505817,0.016857877,0.12239119,0.016438005,0.39918643,0.30280733,0.09146738,7.8806095,24.78874,7.5951996,-1.2611699,1.8115616,0.032490376,0.2950013,0.04191294,0.05697111,0.85946664036038,0.10757971924949537,0.032953640390124335,5.071215629577637,-2.6458780765533447,-3.4805917739868164,test,NTU,low_risk
S001C001P001R001A009,0.01771946,0.102902465,0.018081836,0.01716201,0.08278658,0.014968111,0.49584794,-0.32146555,0.06911069,10.01401,31.246843,8.68021,1.5604839,2.5799022,0.03779852,0.5896639,0.054436583,0.07251842,0.9906142936435668,0.006052373023099767,0.0033333333333333335,3.993553400039673,-1.9740945100784302,-2.9248251914978027,test,NTU,low_risk
S001C001P001R001A042,0.029011749,0.102227844,0.017359767,0.03882812,0.12957591,0.024770744,0.11345804,0.0029159784,0.06586391,2.6309495,8.154657,1.7819961,-0.10744333,0.5535011,0.06738114,0.7825369,0.07099049,0.08835025,0.0030344989157694443,0.9936321677508974,0.0033333333333333335,-1.1868457794189453,3.2600924968719482,-1.787915587425232,test,NTU,moderate_risk
S001C001P001R001A043,0.03090783,0.09784019,0.02253263,0.035526235,0.12934011,0.026602255,0.5703839,0.53556263,0.08106029,18.778997,48.405693,17.843513,-2.6893055,2.7458665,0.06997153,1.0116553,0.08618792,0.108720556,0.06068456238055048,0.10876921555156135,0.830546222067888,-2.0830981731414795,-2.3508059978485107,2.4052734375,test,NTU,high_risk
S001C001P001R002A008,0.031759918,0.10511677,0.021875702,0.035180118,0.17557423,0.028028006,0.6171218,0.61001587,0.07286319,5.221573,19.292542,5.2793097,-1.9063082,2.0154614,0.059704877,0.6407936,0.06934958,0.09122528,0.564416572720715,0.2444874435089765,0.19109598377030804,7.169046401977539,-4.195164203643799,-4.333244323730469,test,NTU,low_risk
S001C001P001R002A009,0.024074692,0.10196804,0.017211936,0.02474685,0.110024445,0.019247254,0.6054054,-0.3220039,0.08091831,9.144696,22.754734,6.7512565,1.4077654,2.0345879,0.04916691,0.76096696,0.064112596,0.08132453,0.9989420654911839,0.001057934508816121,0.0,9.584948539733887,-5.839113235473633,-5.483878135681152,test,NTU,low_risk
S001C001P001R002A042,0.030123759,0.15110803,0.025051914,0.04504345,0.1697277,0.0344329,0.17011732,0.06696886,0.07794076,4.517752,14.287172,3.2793417,-0.2411046,0.77344227,0.067365505,0.5804573,0.07808064,0.10313255,0.005739089734132718,0.9835621539011424,0.010698756364724752,-1.0254305601119995,3.4428422451019287,-2.0424845218658447,test,NTU,moderate_risk
S001C001P001R002A043,0.06572206,0.59677666,0.08314407,0.08576413,0.930063,0.14267594,1.043091,0.64426374,0.1488682,6.8806844,19.723467,4.884722,-2.6458979,3.194265,0.128846,2.185693,0.2144172,0.2975613,0.39732737884766267,0.4638093264452981,0.13886329470703937,-1.1140116453170776,-3.957855701446533,2.6755006313323975,test,NTU,high_risk
S001C001P002R001A008,0.04292887,0.20897266,0.0330698,0.046068735,0.2572424,0.03730005,0.5331857,0.12516505,0.14340448,62.623337,88.82084,22.21556,1.0888152,1.491055,0.09251876,1.1426061,0.11905306,0.15212286,0.4759026152077156,0.15167747703619636,0.372419907756088,0.544913113117218,-1.583829402923584,-0.21017874777317047,test,NTU,low_risk
S001C001P002R001A009,0.021949064,0.11161265,0.018338727,0.019737888,0.08556443,0.017137166,0.46824676,-0.3871026,0.050996274,13.127476,29.147459,7.523855,1.4500456,1.9910436,0.04745987,0.79168355,0.06045795,0.07879668,0.9944444444444444,0.0005227131300560049,0.005032842425499551,6.799291610717773,-2.853724479675293,-4.938729286193848,test,NTU,low_risk
S001C001P002R001A042,0.024359135,0.073009044,0.015078877,0.028237881,0.08410085,0.018863637,0.28265953,0.079307675,0.051828146,7.290738,12.484837,3.049225,-0.08919668,0.5113468,0.05700988,0.73022276,0.062340174,0.07741905,0.03883862316603277,0.9463695737235575,0.014791803110409726,-0.3002696633338928,2.210630178451538,-2.0009889602661133,test,NTU,moderate_risk
S001C001P002R001A043,0.03110643,0.19043016,0.031026654,0.033049855,0.16387473,0.034611654,0.4412473,0.2846287,0.16273639,12.595691,36.651814,11.357944,-1.5762954,2.0519261,0.06509319,1.0690081,0.0908685,0.12189516,0.40283944619094675,0.23460537103697576,0.3625551827720774,-1.430235743522644,-0.1753750741481781,0.5865501761436462,test,NTU,high_risk
S001C001P002R002A008,0.019311883,0.10219,0.016151285,0.020727705,0.14130637,0.020424094,0.58986235,0.41390887,0.09776807,9.055852,27.924742,7.7662063,-0.912611,1.8522124,0.04264984,0.44107717,0.05020008,0.06635136,0.9780309093566768,0.018635757309990016,0.0033333333333333335,8.114039421081543,-6.020627975463867,-4.091935157775879,test,NTU,low_risk
