epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.8754,0.6579,0.5869,0.8531,0.001
2,0.5458,0.8216,0.34,0.9161,0.000999
3,0.3817,0.8898,0.2569,0.9266,0.000998
4,0.2884,0.9133,0.2113,0.9196,0.000996
5,0.2375,0.923,0.2111,0.9248,0.000994
6,0.1908,0.9453,0.2142,0.9283,0.000991
7,0.162,0.9507,0.2107,0.9161,0.000988
8,0.1416,0.9584,0.2337,0.9161,0.000984
9,0.1163,0.9642,0.2444,0.9196,0.00098
10,0.1106,0.9669,0.2742,0.9126,0.000976
11,0.1081,0.97,0.2829,0.9161,0.00097
12,0.0977,0.9642,0.289,0.9143,0.000965
13,0.0828,0.9742,0.299,0.9108,0.000959
14,0.0953,0.9711,0.2535,0.9301,0.000952
15,0.078,0.9723,0.328,0.9178,0.000946
16,0.0729,0.9738,0.3384,0.9108,0.000938
17,0.0584,0.9804,0.2967,0.9178,0.00093
18,0.0772,0.9723,0.3352,0.9143,0.000922
19,0.0792,0.973,0.3662,0.9003,0.000914
20,0.0644,0.9761,0.3578,0.9161,0.000905
21,0.0704,0.9757,0.4235,0.8986,0.000895
22,0.0576,0.9815,0.3487,0.9091,0.000885
23,0.0508,0.9846,0.3913,0.9056,0.000875
24,0.0502,0.9854,0.3582,0.9126,0.000864
25,0.0519,0.9842,0.3768,0.9108,0.000854
26,0.0484,0.9831,0.4131,0.9073,0.000842
27,0.0504,0.9827,0.4625,0.9073,0.000831
28,0.0543,0.9831,0.3396,0.9178,0.000819
29,0.0425,0.9861,0.3866,0.9178,0.000806
