sequence_id,dataset,action_label,risk_level,mean_torso_inclination,std_torso_inclination,knee_hip_drop_ratio,ankle_motion,mean_body_height,std_body_height_norm,mean_joint_speed,std_hip_y,posture
fall-01-cam0-rgb,UR,fall,high_risk,15.058,20.7321,0.314,0.0576,5.2486,0.3967,0.2923,0.4845,Lying
fall-02-cam0-rgb,UR,fall,high_risk,42.1921,31.8291,0.4806,0.0498,4.5341,0.1303,0.2918,0.4661,Lying
fall-03-cam0-rgb,UR,fall,high_risk,5.4777,6.1669,0.2557,0.0379,5.9429,0.2219,0.2661,0.2427,Lying
fall-05-cam0-rgb,UR,fall,high_risk,23.3849,29.0032,0.3449,0.0704,5.8104,0.3029,0.3218,0.4096,Lying
fall-06-cam0-rgb,UR,fall,high_risk,55.8478,33.0898,0.3703,0.049,4.2479,0.2953,0.294,0.5186,Lying
fall-07-cam0-rgb,UR,fall,high_risk,24.8842,30.594,0.3438,0.0432,5.1013,0.2346,0.2844,0.5646,Lying
fall-08-cam0-rgb,UR,fall,high_risk,49.6811,31.7359,0.2683,0.0406,4.431,0.3031,0.152,0.3145,Lying
fall-09-cam0-rgb,UR,fall,high_risk,15.1264,22.8536,0.2707,0.0612,5.8714,0.2188,0.3812,0.3762,Lying
fall-10-cam0-rgb,UR,fall,high_risk,42.1655,29.0602,0.3979,0.0811,4.171,0.2581,0.3876,0.685,Lying
fall-11-cam0-rgb,UR,fall,high_risk,39.6251,33.5473,0.343,0.0379,5.216,0.2499,0.2028,0.4031,Lying
fall-12-cam0-rgb,UR,fall,high_risk,60.2156,32.3513,0.2916,0.0524,4.8495,0.1673,0.2702,0.4013,Lying
fall-13-cam0-rgb,UR,fall,high_risk,11.1844,20.5894,0.281,0.0349,5.3651,0.3225,0.2726,0.257,Lying
fall-14-cam0-rgb,UR,fall,high_risk,59.8263,22.5435,0.448,0.0607,4.4986,0.1219,0.1882,0.4411,Lying
fall-15-cam0-rgb,UR,fall,high_risk,38.1396,36.7804,0.3227,0.0218,5.6925,0.4194,0.0964,0.2305,Lying
fall-16-cam0-rgb,UR,fall,high_risk,55.6349,23.9808,0.3522,0.02,4.3702,0.0926,0.1138,0.4172,Lying
fall-17-cam0-rgb,UR,fall,high_risk,8.6591,11.3049,0.3213,0.0254,5.6082,0.3077,0.1451,0.3804,Lying
fall-18-cam0-rgb,UR,fall,high_risk,63.0792,27.197,0.3031,0.0319,5.131,0.2787,0.1045,0.3678,Lying
fall-20-cam0-rgb,UR,fall,high_risk,35.4067,20.4957,0.1509,0.0612,4.7435,0.2131,0.3663,0.3328,Lying
fall-02-cam1-rgb,UR,fall,high_risk,67.2678,24.8559,1.127,0.3,5.5326,0.557,0.3394,0.161,Lying
fall-04-cam1-rgb,UR,fall,high_risk,74.8657,9.1925,1.0817,0.1825,4.9634,0.4534,0.2529,0.2215,Lying
fall-06-cam1-rgb,UR,fall,high_risk,73.242,8.5569,0.8174,0.092,5.3009,0.547,0.3253,0.1759,Lying
fall-07-cam1-rgb,UR,fall,high_risk,37.1571,20.5055,0.25,0.1101,5.993,0.494,0.4077,0.3985,Lying
fall-08-cam1-rgb,UR,fall,high_risk,61.7266,17.004,0.579,0.134,5.057,0.467,0.2472,0.2346,Lying
fall-09-cam1-rgb,UR,fall,high_risk,30.0127,28.4027,0.4189,0.1958,5.79,0.6856,0.5008,0.3377,Lying
fall-10-cam1-rgb,UR,fall,high_risk,73.7213,10.8979,0.6295,0.1168,5.2195,0.4977,0.3009,0.1507,Lying
fall-11-cam1-rgb,UR,fall,high_risk,44.5339,23.0947,0.3499,0.0729,6.0268,0.7445,0.3292,0.2888,Lying
fall-12-cam1-rgb,UR,fall,high_risk,60.5565,15.3649,0.4772,0.0918,4.8066,0.4961,0.2742,0.0683,Lying
fall-14-cam1-rgb,UR,fall,high_risk,81.6886,6.7472,2.1841,0.3823,4.6048,0.3132,0.3026,0.0903,Lying
fall-18-cam1-rgb,UR,fall,high_risk,75.1809,9.8314,0.9625,0.1115,4.7895,0.4317,0.2054,0.1255,Lying
fall-20-cam1-rgb,UR,fall,high_risk,29.0188,24.2022,0.2962,0.0316,4.3471,0.5071,0.3798,0.2073,Lying
S001C001P001R001A008,NTU,sit_down,low_risk,7.8806,7.5952,0.1765,0.0074,5.1755,0.1259,0.0325,0.0784,Sitting
S001C001P001R001A009,NTU,stand_up,low_risk,10.014,8.6802,0.2061,0.0083,5.8058,0.1609,0.0378,0.096,Standing
S001C001P001R001A042,NTU,staggering,moderate_risk,2.6309,1.782,0.2341,0.0143,5.8146,0.0229,0.0674,0.0207,Walking
S001C001P001R001A043,NTU,falling_down,high_risk,18.779,17.8435,0.2086,0.016,4.7648,0.2244,0.07,0.1803,Lying
S001C001P001R002A008,NTU,sit_down,low_risk,5.2216,5.2793,0.1709,0.0146,5.052,0.1482,0.0597,0.0748,Sitting
S001C001P001R002A009,NTU,stand_up,low_risk,9.1447,6.7513,0.1362,0.0089,4.8048,0.1585,0.0492,0.0543,Standing
S001C001P001R002A042,NTU,staggering,moderate_risk,4.5178,3.2793,0.2369,0.0118,5.6616,0.032,0.0674,0.0365,Walking
S001C001P001R002A043,NTU,falling_down,high_risk,6.8807,4.8847,0.1597,0.0205,4.4171,0.3027,0.1288,0.1149,Lying
S001C001P002R001A008,NTU,sit_down,low_risk,62.6233,22.2156,0.2164,0.0243,4.4683,0.086,0.0925,0.4014,Sitting
S001C001P002R001A009,NTU,stand_up,low_risk,13.1275,7.5239,0.1549,0.0102,4.9951,0.1496,0.0475,0.0788,Standing
S001C001P002R001A042,NTU,staggering,moderate_risk,7.2907,3.0492,0.2139,0.0105,5.5287,0.0251,0.057,0.0248,Walking
