sequence_id,dataset,risk_level
S001C002P002R001A008,NTU,low_risk
S001C002P002R001A009,NTU,low_risk
S001C002P002R001A042,NTU,moderate_risk
S001C002P002R001A043,NTU,high_risk
S001C002P002R002A008,NTU,low_risk
S001C002P002R002A009,NTU,low_risk
S001C002P002R002A042,NTU,moderate_risk
S001C002P002R002A043,NTU,high_risk
S001C002P004R001A008,NTU,low_risk
S001C002P004R001A009,NTU,low_risk
S001C002P004R001A042,NTU,moderate_risk
S001C002P004R001A043,NTU,high_risk
S001C002P004R002A008,NTU,low_risk
S001C002P004R002A009,NTU,low_risk
S001C002P004R002A042,NTU,moderate_risk
S001C002P004R002A043,NTU,high_risk
S001C002P005R001A008,NTU,low_risk
S001C002P005R001A009,NTU,low_risk
S001C002P005R001A042,NTU,moderate_risk
S001C002P005R001A043,NTU,high_risk
S001C002P005R002A008,NTU,low_risk
S001C002P005R002A009,NTU,low_risk
S001C002P005R002A042,NTU,moderate_risk
S001C002P005R002A043,NTU,high_risk
S001C002P006R001A008,NTU,low_risk
S001C002P006R001A009,NTU,low_risk
S001C002P006R001A042,NTU,moderate_risk
S001C002P006R001A043,NTU,high_risk
S001C002P006R002A008,NTU,low_risk
S001C002P006R002A009,NTU,low_risk
S001C002P006R002A042,NTU,moderate_risk
S001C002P006R002A043,NTU,high_risk
S001C002P007R001A008,NTU,low_risk
S001C002P007R001A009,NTU,low_risk
S001C002P007R001A042,NTU,moderate_risk
S001C002P007R001A043,NTU,high_risk
S001C002P007R002A008,NTU,low_risk
S001C002P007R002A009,NTU,low_risk
S001C002P007R002A042,NTU,moderate_risk
S001C002P007R002A043,NTU,high_risk
S001C002P008R001A008,NTU,low_risk
S001C002P008R001A009,NTU,low_risk
S001C002P008R001A042,NTU,moderate_risk
S001C002P008R001A043,NTU,high_risk
S001C002P008R002A008,NTU,low_risk
S001C002P008R002A009,NTU,low_risk
S001C002P008R002A042,NTU,moderate_risk
S001C002P008R002A043,NTU,high_risk
S001C003P002R001A008,NTU,low_risk
S001C003P002R001A009,NTU,low_risk
S001C003P002R001A042,NTU,moderate_risk
S001C003P002R001A043,NTU,high_risk
S001C003P002R002A008,NTU,low_risk
S001C003P002R002A009,NTU,low_risk
S001C003P002R002A042,NTU,moderate_risk
S001C003P002R002A043,NTU,high_risk
S001C003P004R001A008,NTU,low_risk
S001C003P004R001A009,NTU,low_risk
S001C003P004R001A042,NTU,moderate_risk
S001C003P004R001A043,NTU,high_risk
S001C003P004R002A008,NTU,low_risk
S001C003P004R002A009,NTU,low_risk
S001C003P004R002A042,NTU,moderate_risk
S001C003P004R002A043,NTU,high_risk
S001C003P005R001A008,NTU,low_risk
S001C003P005R001A009,NTU,low_risk
S001C003P005R001A042,NTU,moderate_risk
S001C003P005R001A043,NTU,high_risk
S001C003P005R002A008,NTU,low_risk
S001C003P005R002A009,NTU,low_risk
S001C003P005R002A042,NTU,moderate_risk
S001C003P005R002A043,NTU,high_risk
S001C003P006R001A008,NTU,low_risk
S001C003P006R001A009,NTU,low_risk
S001C003P006R001A042,NTU,moderate_risk
S001C003P006R001A043,NTU,high_risk
S001C003P006R002A008,NTU,low_risk
S001C003P006R002A009,NTU,low_risk
S001C003P006R002A042,NTU,moderate_risk
S001C003P006R002A043,NTU,high_risk
S001C003P007R001A008,NTU,low_risk
S001C003P007R001A009,NTU,low_risk
S001C003P007R001A042,NTU,moderate_risk
S001C003P007R001A043,NTU,high_risk
S001C003P007R002A008,NTU,low_risk
S001C003P007R002A009,NTU,low_risk
S001C003P007R002A042,NTU,moderate_risk
S001C003P007R002A043,NTU,high_risk
S001C003P008R001A008,NTU,low_risk
S001C003P008R001A009,NTU,low_risk
S001C003P008R001A042,NTU,moderate_risk
S001C003P008R001A043,NTU,high_risk
S001C003P008R002A008,NTU,low_risk
S001C003P008R002A009,NTU,low_risk
S001C003P008R002A042,NTU,moderate_risk
S001C003P008R002A043,NTU,high_risk
S002C002P007R001A008,NTU,low_risk
S002C002P007R001A009,NTU,low_risk
S002C002P007R001A042,NTU,moderate_risk
S002C002P007R001A043,NTU,high_risk
S002C002P007R002A008,NTU,low_risk
S002C002P007R002A009,NTU,low_risk
S002C002P007R002A042,NTU,moderate_risk
S002C002P007R002A043,NTU,high_risk
S002C002P008R001A008,NTU,low_risk
S002C002P008R001A009,NTU,low_risk
S002C002P008R001A042,NTU,moderate_risk
S002C002P008R001A043,NTU,high_risk
S002C002P008R002A008,NTU,low_risk
S002C002P008R002A009,NTU,low_risk
S002C002P008R002A042,NTU,moderate_risk
S002C002P008R002A043,NTU,high_risk
S002C002P009R001A008,NTU,low_risk
S002C002P009R001A009,NTU,low_risk
S002C002P009R001A042,NTU,moderate_risk
S002C002P009R001A043,NTU,high_risk
S002C002P009R002A008,NTU,low_risk
S002C002P009R002A009,NTU,low_risk
S002C002P009R002A042,NTU,moderate_risk
S002C002P009R002A043,NTU,high_risk
S002C002P010R001A008,NTU,low_risk
S002C002P010R001A009,NTU,low_risk
S002C002P010R001A042,NTU,moderate_risk
S002C002P010R001A043,NTU,high_risk
S002C002P010R002A008,NTU,low_risk
S002C002P010R002A009,NTU,low_risk
S002C002P010R002A042,NTU,moderate_risk
S002C002P010R002A043,NTU,high_risk
S002C002P011R001A008,NTU,low_risk
S002C002P011R001A009,NTU,low_risk
S002C002P011R001A042,NTU,moderate_risk
S002C002P011R001A043,NTU,high_risk
S002C002P011R002A008,NTU,low_risk
S002C002P011R002A009,NTU,low_risk
S002C002P011R002A042,NTU,moderate_risk
S002C002P011R002A043,NTU,high_risk
S002C002P012R001A008,NTU,low_risk
S002C002P012R001A009,NTU,low_risk
S002C002P012R001A042,NTU,moderate_risk
S002C002P012R001A043,NTU,high_risk
S002C002P012R002A008,NTU,low_risk
S002C002P012R002A009,NTU,low_risk
S002C002P012R002A042,NTU,moderate_risk
S002C002P012R002A043,NTU,high_risk
S002C002P013R001A008,NTU,low_risk
S002C002P013R001A009,NTU,low_risk
S002C002P013R001A042,NTU,moderate_risk
S002C002P013R001A043,NTU,high_risk
S002C002P013R002A008,NTU,low_risk
S002C002P013R002A009,NTU,low_risk
S002C002P013R002A042,NTU,moderate_risk
S002C002P013R002A043,NTU,high_risk
S002C002P014R001A008,NTU,low_risk
S002C002P014R001A009,NTU,low_risk
