epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,0.7272,0.7078,0.6643,0.8062,0.000999,235.5
2,0.4665,0.8078,0.4628,0.8335,0.000996,232.1
3,0.3998,0.8497,0.2902,0.8951,0.000991,232.2
4,0.3722,0.8606,0.4473,0.8472,0.000984,233.9
5,0.3316,0.8731,0.4838,0.8575,0.000976,222.5
6,0.3326,0.8731,0.3369,0.8734,0.000965,224.1
7,0.3196,0.8814,0.3772,0.87,0.000952,223.3
8,0.3067,0.8882,0.4506,0.8221,0.000938,253.0
9,0.2657,0.8965,0.3216,0.8791,0.000922,256.3
10,0.2682,0.8923,0.729,0.7389,0.000905,509.6
11,0.2551,0.9048,0.3375,0.8677,0.000885,234.0
12,0.2525,0.9045,0.2346,0.9099,0.000864,236.3
13,0.2503,0.9074,0.4155,0.8426,0.000842,236.8
14,0.2241,0.9141,0.3892,0.8335,0.000819,236.0
15,0.2125,0.9228,0.2239,0.9065,0.000794,234.9
16,0.206,0.9273,0.2325,0.919,0.000768,235.7
17,0.209,0.9231,0.2667,0.9031,0.000741,248.5
18,0.2096,0.9237,0.2458,0.9111,0.000713,241.3
19,0.1783,0.9353,0.2379,0.9042,0.000684,237.5
20,0.1711,0.9321,0.2539,0.9236,0.000655,235.4
21,0.1723,0.935,0.3224,0.8883,0.000624,235.6
22,0.1727,0.9366,0.3777,0.8597,0.000594,238.1
23,0.1785,0.9378,0.281,0.8826,0.000563,238.9
24,0.1509,0.9478,0.299,0.886,0.000531,238.1
25,0.1572,0.9442,0.3916,0.8563,0.0005,234.8
26,0.1341,0.9539,0.2649,0.8962,0.000469,242.1
27,0.1315,0.9529,0.205,0.9282,0.000437,242.1
28,0.1331,0.9497,0.3392,0.8757,0.000406,243.8
29,0.1227,0.9551,0.201,0.9202,0.000376,244.0
30,0.1106,0.9606,0.2699,0.8928,0.000345,242.1
31,0.1172,0.9587,0.207,0.9202,0.000316,246.1
32,0.1224,0.9577,0.3683,0.8712,0.000287,242.6
33,0.096,0.9599,0.3167,0.886,0.000259,242.3
34,0.1076,0.9616,0.3023,0.8928,0.000232,244.0
35,0.0951,0.9644,0.294,0.894,0.000206,240.3
36,0.0883,0.9651,0.3133,0.8928,0.000181,237.0
37,0.091,0.9673,0.2351,0.9088,0.000158,250.7
