epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,0.6731,0.7424,0.4366,0.8403,0.000999,296.8
2,0.4362,0.8403,0.9124,0.6713,0.000996,302.6
3,0.3867,0.8549,0.2109,0.9452,0.000991,294.4
4,0.3542,0.8652,0.2734,0.9161,0.000984,297.1
5,0.3092,0.8867,0.1967,0.9336,0.000976,363.0
6,0.2919,0.8932,0.1816,0.9347,0.000965,307.4
7,0.2776,0.8983,0.274,0.9103,0.000952,305.5
8,0.2724,0.8986,0.3114,0.9009,0.000938,302.8
9,0.2392,0.9101,0.1544,0.9394,0.000922,308.1
10,0.228,0.914,0.1528,0.9487,0.000905,365.9
11,0.2306,0.9145,0.1539,0.9545,0.000885,283.4
12,0.2309,0.9127,0.1511,0.9569,0.000864,290.9
13,0.2114,0.926,0.2153,0.9336,0.000842,298.2
14,0.1912,0.9307,0.1732,0.9452,0.000819,303.6
15,0.206,0.9176,0.127,0.9592,0.000794,310.1
16,0.18,0.9335,0.1573,0.9417,0.000768,304.7
17,0.1942,0.9245,0.3906,0.8916,0.000741,305.6
18,0.1681,0.9379,0.1612,0.951,0.000713,305.1
19,0.1667,0.9366,0.1968,0.9452,0.000684,305.4
20,0.1548,0.9445,0.1515,0.9534,0.000655,290.9
21,0.1802,0.9317,0.1469,0.9487,0.000624,290.6
22,0.1447,0.944,0.1268,0.9604,0.000594,298.7
23,0.1321,0.9479,0.1707,0.9487,0.000563,299.8
24,0.1303,0.9538,0.1582,0.951,0.000531,306.4
25,0.1362,0.9499,0.1471,0.951,0.0005,308.1
26,0.1301,0.9502,0.1302,0.9499,0.000469,292.3
27,0.1213,0.9563,0.1623,0.9441,0.000437,278.7
28,0.1256,0.9502,0.1422,0.9545,0.000406,278.9
29,0.1112,0.961,0.1338,0.9639,0.000376,277.7
30,0.1125,0.9571,0.1548,0.9534,0.000345,281.1
31,0.1002,0.9617,0.1046,0.9627,0.000316,280.7
32,0.1019,0.964,0.1296,0.9627,0.000287,279.1
33,0.0848,0.9707,0.1769,0.9522,0.000259,275.6
34,0.0856,0.9697,0.1409,0.9569,0.000232,329.5
35,0.0705,0.9738,0.1324,0.9627,0.000206,283.8
36,0.0807,0.9707,0.1692,0.9534,0.000181,276.4
37,0.0721,0.9753,0.1295,0.9627,0.000158,276.6
38,0.0717,0.9725,0.1349,0.9592,0.000136,277.7
39,0.0624,0.9766,0.1737,0.9557,0.000115,276.4
