epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,0.7235,0.7134,0.511,0.8601,0.000999,200.7
2,0.4896,0.8155,0.3909,0.8881,0.000996,197.5
3,0.4091,0.8428,0.3277,0.9056,0.000991,196.0
4,0.3707,0.8586,0.2317,0.9388,0.000984,195.0
5,0.3696,0.8571,0.317,0.8811,0.000976,195.0
6,0.3547,0.864,0.2383,0.9143,0.000965,194.8
7,0.3302,0.876,0.246,0.9161,0.000952,195.9
8,0.3036,0.8856,0.2617,0.9108,0.000938,197.0
9,0.2776,0.8856,0.229,0.9213,0.000922,197.1
10,0.2699,0.9002,0.2878,0.8951,0.000905,195.6
11,0.28,0.8941,0.2643,0.9056,0.000885,195.2
12,0.2655,0.9025,0.2242,0.9213,0.000864,195.3
13,0.2714,0.8968,0.2381,0.9248,0.000842,193.8
14,0.2635,0.9041,0.2343,0.9213,0.000819,193.3
