sequence_id,center_speed_mean,center_speed_max,center_speed_std,center_acceleration_mean,center_acceleration_max,center_acceleration_std,vertical_range,vertical_drop,sudden_vertical_change,torso_angle_mean,torso_angle_max,torso_angle_std,body_height_change,body_height_range,mean_joint_speed,max_joint_speed,std_joint_speed,instability_score,rf_prob_low,rf_prob_moderate,rf_prob_high,stgcn_logit_low,stgcn_logit_moderate,stgcn_logit_high,split,dataset,risk_level
adl-01-cam0-rgb,0.11497458,0.7161576,0.108080365,0.1654804,0.73218447,0.14992578,1.1770461,0.409636,0.7157399,12.309066,39.072266,13.721303,2.471643,8.82212,0.32058534,4.2223754,0.39718056,0.50526094,0.8876996076425258,0.05711443151842026,0.05518596083905394,2.1317150592803955,-1.7787319421768188,-1.3244144916534424,train,UR,low_risk
adl-02-cam0-rgb,0.08169299,0.5839843,0.109319106,0.13316523,0.94046366,0.18621534,0.86324674,0.52696925,0.5119182,1.7168045,9.818641,1.8689705,6.8943853,8.498273,0.23935874,3.394498,0.37005246,0.47937155,0.8606119950350728,0.09124491494310942,0.04814309002181755,1.8075331449508667,-1.600105881690979,-1.2366704940795898,test,UR,low_risk
adl-03-cam0-rgb,0.15619294,1.5945882,0.25093818,0.26525506,3.122435,0.44139954,1.1276786,0.9440938,0.62211704,6.620263,24.65991,6.1136904,5.0960917,7.7101707,0.44828236,8.032284,0.7884757,1.0394139,0.845772880631834,0.08147935759842649,0.07274776176973925,1.6274648904800415,-1.3779051303863525,-0.9811674356460571,train,UR,low_risk
adl-04-cam0-rgb,0.09526299,0.5911451,0.08819803,0.14501943,0.6992296,0.12782605,0.62666386,0.38677114,0.57776636,30.525349,88.37084,31.981483,1.157701,7.523068,0.34290162,6.862065,0.6716978,0.7598958,0.4650956370231819,0.2997179238705269,0.23518643910629108,0.9493148326873779,-1.8322198390960693,-0.054243337363004684,val,UR,low_risk
adl-05-cam0-rgb,0.098392084,0.5865746,0.09365833,0.15201822,0.78641045,0.14094876,1.1999283,0.8732732,0.586429,22.016428,83.27764,28.604288,5.8350744,9.154662,0.27745348,3.3871508,0.32253286,0.4161912,0.7822770476252697,0.13790331733237524,0.07981963504235487,1.1057515144348145,-1.355399250984192,-0.4518096446990967,train,UR,low_risk
adl-06-cam0-rgb,0.1196788,0.6584163,0.114750996,0.18110828,0.82569057,0.1624303,1.2654444,0.9378437,0.6088471,15.316312,87.09608,25.352573,8.443785,8.443785,0.30647016,4.9454045,0.3854936,0.5002446,0.7796177923475578,0.14524028710723488,0.07514192054520724,2.1503350734710693,-1.8277227878570557,-1.2720553874969482,val,UR,low_risk
adl-07-cam0-rgb,0.11767141,0.81668496,0.13761976,0.18254179,1.6008774,0.22022319,1.0750698,0.31220335,0.7524105,2.5989532,12.672248,3.0652945,3.782155,7.764562,0.26129618,4.1314845,0.3542517,0.49187148,0.9080496085408358,0.046227271326765206,0.045723120132398924,1.513681173324585,-1.4784395694732666,-0.8676763772964478,train,UR,low_risk
adl-08-cam0-rgb,0.11554055,0.7254456,0.1172871,0.18540064,0.8588041,0.18402521,1.0653925,0.3503912,0.7249219,2.251621,8.378718,1.93679,4.1548567,9.868379,0.251939,4.0524073,0.32513,0.4424171,0.918598436449117,0.04217391829576605,0.03922764525511708,1.822865605354309,-1.7065545320510864,-1.0531452894210815,train,UR,low_risk
adl-09-cam0-rgb,0.06247053,0.24817176,0.048581492,0.090291284,0.3211407,0.06036329,0.837806,-0.031954587,0.13094732,11.089117,46.343044,14.265954,-0.88901806,6.65411,0.2049247,2.5536406,0.23883608,0.28741756,0.6087510501236678,0.25749498427351614,0.13375396560281633,1.4812575578689575,-1.3589861392974854,-0.8201104402542114,train,UR,low_risk
adl-10-cam0-rgb,0.15052833,0.5273701,0.1240762,0.21212332,0.93101805,0.18431057,1.8707399,-0.15099917,0.4750773,22.03515,63.83848,22.599749,3.264538,9.676936,0.3644545,3.3227262,0.40186483,0.525941,0.661084817387681,0.1531108531922269,0.1858043294200921,0.7245329022407532,-3.030576705932617,0.7570862174034119,test,UR,low_risk
adl-11-cam0-rgb,0.13476509,0.686978,0.13307607,0.20047632,0.8613898,0.18442062,1.4469655,0.05822716,0.51995546,24.837929,71.17696,23.270445,4.5370917,9.540905,0.34276748,4.8413196,0.4707794,0.6038555,0.7864910256072863,0.1059228175745372,0.10758615681817633,1.3863201141357422,-2.1846046447753906,-0.5109964609146118,train,UR,low_risk
adl-12-cam0-rgb,0.12840296,1.0887339,0.18283801,0.20769106,1.6167092,0.27645352,1.0506843,0.9920863,0.73568916,7.19291,34.496674,10.666782,8.816829,9.254409,0.29904458,4.7821674,0.46992218,0.6527602,0.9290946586984755,0.030532511830681935,0.04037282947084273,2.0562541484832764,-1.6649012565612793,-1.3948109149932861,train,UR,low_risk
adl-14-cam0-rgb,0.10512786,0.9364101,0.14605924,0.18266296,1.2240824,0.22020085,1.0022238,0.99011904,0.61835057,3.212122,18.62758,4.2157693,8.282442,9.3197775,0.2598768,5.3394103,0.45402437,0.6000836,0.9120550737975268,0.04758557253783223,0.040359353664640614,2.2431833744049072,-1.784063458442688,-1.4672960042953491,train,UR,low_risk
adl-15-cam0-rgb,0.14248198,1.4864765,0.24963342,0.24922322,1.7010005,0.38429752,0.7530876,0.71244365,0.49959597,9.401058,70.0931,15.603022,6.5930023,12.410518,0.3059437,6.015814,0.56328416,0.8129176,0.8467104689939231,0.08549654136934089,0.06779298963673583,1.4733680486679077,-3.4894020557403564,-0.5116687417030334,train,UR,low_risk
adl-17-cam0-rgb,0.14268216,0.9151612,0.17422426,0.2373233,1.0930436,0.26230487,1.472872,1.2622911,0.91363674,15.8988,71.33103,24.287079,8.988002,11.048067,0.34176248,4.81302,0.54493797,0.7191622,0.8673601638819382,0.09174175328320333,0.04089808283485817,2.6632707118988037,-2.06036114692688,-1.7573415040969849,train,UR,low_risk
fall-01-cam0-rgb,0.12348368,1.6134404,0.29143173,0.22241953,3.1401684,0.46935412,0.89446515,0.124551654,0.7632336,15.057996,77.70315,20.73208,-4.510073,8.842011,0.29230195,8.450026,0.71433836,1.0057701,0.08374722494078334,0.19275671627193575,0.7234960587872812,0.2929169535636902,-1.6322698593139648,-0.0880826860666275,train,UR,high_risk
