sequence_id,dataset,risk_level
adl-01-cam0-rgb,UR,low_risk
adl-03-cam0-rgb,UR,low_risk
adl-05-cam0-rgb,UR,low_risk
adl-07-cam0-rgb,UR,low_risk
adl-08-cam0-rgb,UR,low_risk
adl-09-cam0-rgb,UR,low_risk
adl-11-cam0-rgb,UR,low_risk
adl-12-cam0-rgb,UR,low_risk
adl-14-cam0-rgb,UR,low_risk
adl-15-cam0-rgb,UR,low_risk
adl-17-cam0-rgb,UR,low_risk
fall-01-cam0-rgb,UR,high_risk
fall-03-cam0-rgb,UR,high_risk
fall-05-cam0-rgb,UR,high_risk
fall-06-cam0-rgb,UR,high_risk
fall-08-cam0-rgb,UR,high_risk
fall-10-cam0-rgb,UR,high_risk
fall-11-cam0-rgb,UR,high_risk
fall-14-cam0-rgb,UR,high_risk
fall-16-cam0-rgb,UR,high_risk
fall-17-cam0-rgb,UR,high_risk
fall-18-cam0-rgb,UR,high_risk
fall-20-cam0-rgb,UR,high_risk
fall-04-cam1-rgb,UR,high_risk
fall-06-cam1-rgb,UR,high_risk
fall-08-cam1-rgb,UR,high_risk
fall-10-cam1-rgb,UR,high_risk
fall-11-cam1-rgb,UR,high_risk
fall-14-cam1-rgb,UR,high_risk
fall-18-cam1-rgb,UR,high_risk
fall-20-cam1-rgb,UR,high_risk
S001C001P001R001A008,NTU,low_risk
S001C001P001R001A009,NTU,low_risk
S001C001P001R001A042,NTU,moderate_risk
S001C001P001R001A043,NTU,high_risk
S001C001P001R002A008,NTU,low_risk
S001C001P001R002A009,NTU,low_risk
S001C001P001R002A042,NTU,moderate_risk
S001C001P001R002A043,NTU,high_risk
S001C001P002R001A008,NTU,low_risk
S001C001P002R001A009,NTU,low_risk
S001C001P002R001A042,NTU,moderate_risk
S001C001P002R001A043,NTU,high_risk
S001C001P002R002A008,NTU,low_risk
S001C001P002R002A009,NTU,low_risk
S001C001P002R002A042,NTU,moderate_risk
S001C001P002R002A043,NTU,high_risk
S001C001P003R001A008,NTU,low_risk
S001C001P003R001A009,NTU,low_risk
S001C001P003R001A042,NTU,moderate_risk
S001C001P003R001A043,NTU,high_risk
S001C001P003R002A008,NTU,low_risk
S001C001P003R002A009,NTU,low_risk
S001C001P003R002A042,NTU,moderate_risk
S001C001P003R002A043,NTU,high_risk
S001C001P004R001A008,NTU,low_risk
S001C001P004R001A009,NTU,low_risk
S001C001P004R001A042,NTU,moderate_risk
S001C001P004R001A043,NTU,high_risk
S001C001P004R002A008,NTU,low_risk
S001C001P004R002A009,NTU,low_risk
S001C001P004R002A042,NTU,moderate_risk
S001C001P004R002A043,NTU,high_risk
S001C001P005R001A008,NTU,low_risk
S001C001P005R001A009,NTU,low_risk
S001C001P005R001A042,NTU,moderate_risk
S001C001P005R001A043,NTU,high_risk
S001C001P005R002A008,NTU,low_risk
S001C001P005R002A009,NTU,low_risk
S001C001P005R002A042,NTU,moderate_risk
S001C001P005R002A043,NTU,high_risk
S001C001P006R001A008,NTU,low_risk
S001C001P006R001A009,NTU,low_risk
S001C001P006R001A042,NTU,moderate_risk
S001C001P006R001A043,NTU,high_risk
S001C001P006R002A008,NTU,low_risk
S001C001P006R002A009,NTU,low_risk
S001C001P006R002A042,NTU,moderate_risk
S001C001P006R002A043,NTU,high_risk
S001C001P008R001A008,NTU,low_risk
S001C001P008R001A009,NTU,low_risk
S001C001P008R001A042,NTU,moderate_risk
S001C001P008R001A043,NTU,high_risk
S001C001P008R002A008,NTU,low_risk
S001C001P008R002A009,NTU,low_risk
S001C001P008R002A042,NTU,moderate_risk
S001C001P008R002A043,NTU,high_risk
S001C002P001R001A008,NTU,low_risk
S001C002P001R001A009,NTU,low_risk
S001C002P001R001A042,NTU,moderate_risk
S001C002P001R001A043,NTU,high_risk
S001C002P001R002A008,NTU,low_risk
S001C002P001R002A009,NTU,low_risk
S001C002P001R002A042,NTU,moderate_risk
S001C002P001R002A043,NTU,high_risk
S001C002P002R001A008,NTU,low_risk
S001C002P002R001A009,NTU,low_risk
S001C002P002R001A042,NTU,moderate_risk
S001C002P002R001A043,NTU,high_risk
S001C002P002R002A008,NTU,low_risk
S001C002P002R002A009,NTU,low_risk
S001C002P002R002A042,NTU,moderate_risk
S001C002P002R002A043,NTU,high_risk
S001C002P003R001A008,NTU,low_risk
S001C002P003R001A009,NTU,low_risk
S001C002P003R001A042,NTU,moderate_risk
S001C002P003R001A043,NTU,high_risk
S001C002P003R002A008,NTU,low_risk
S001C002P003R002A009,NTU,low_risk
S001C002P003R002A042,NTU,moderate_risk
S001C002P003R002A043,NTU,high_risk
S001C002P004R001A008,NTU,low_risk
S001C002P004R001A009,NTU,low_risk
S001C002P004R001A042,NTU,moderate_risk
S001C002P004R001A043,NTU,high_risk
S001C002P004R002A008,NTU,low_risk
S001C002P004R002A009,NTU,low_risk
S001C002P004R002A042,NTU,moderate_risk
S001C002P004R002A043,NTU,high_risk
S001C002P005R001A008,NTU,low_risk
S001C002P005R001A009,NTU,low_risk
S001C002P005R001A042,NTU,moderate_risk
S001C002P005R001A043,NTU,high_risk
S001C002P005R002A008,NTU,low_risk
S001C002P005R002A009,NTU,low_risk
S001C002P005R002A042,NTU,moderate_risk
S001C002P005R002A043,NTU,high_risk
S001C002P006R001A008,NTU,low_risk
S001C002P006R001A009,NTU,low_risk
S001C002P006R001A042,NTU,moderate_risk
S001C002P006R001A043,NTU,high_risk
S001C002P006R002A008,NTU,low_risk
S001C002P006R002A009,NTU,low_risk
S001C002P006R002A042,NTU,moderate_risk
S001C002P006R002A043,NTU,high_risk
S001C002P008R001A008,NTU,low_risk
S001C002P008R001A009,NTU,low_risk
S001C002P008R001A042,NTU,moderate_risk
S001C002P008R001A043,NTU,high_risk
S001C002P008R002A008,NTU,low_risk
S001C002P008R002A009,NTU,low_risk
S001C002P008R002A042,NTU,moderate_risk
S001C002P008R002A043,NTU,high_risk
S001C003P001R001A008,NTU,low_risk
S001C003P001R001A009,NTU,low_risk
S001C003P001R001A042,NTU,moderate_risk
S001C003P001R001A043,NTU,high_risk
S001C003P001R002A008,NTU,low_risk
S001C003P001R002A009,NTU,low_risk
S001C003P001R002A042,NTU,moderate_risk
S001C003P001R002A043,NTU,high_risk
S001C003P002R001A008,NTU,low_risk
S001C003P002R001A009,NTU,low_risk
S001C003P002R001A042,NTU,moderate_risk
S001C003P002R001A043,NTU,high_risk
S001C003P002R002A008,NTU,low_risk
S001C003P002R002A009,NTU,low_risk
S001C003P002R002A042,NTU,moderate_risk
S001C003P002R002A043,NTU,high_risk
S001C003P003R001A008,NTU,low_risk
S001C003P003R001A009,NTU,low_risk
S001C003P003R001A042,NTU,moderate_risk
S001C003P003R001A043,NTU,high_risk
S001C003P003R002A008,NTU,low_risk
S001C003P003R002A009,NTU,low_risk
S001C003P003R002A042,NTU,moderate_risk
S001C003P003R002A043,NTU,high_risk
S001C003P004R001A008,NTU,low_risk
S001C003P004R001A009,NTU,low_risk
S001C003P004R001A042,NTU,moderate_risk
S001C003P004R001A043,NTU,high_risk
S001C003P004R002A008,NTU,low_risk
S001C003P004R002A009,NTU,low_risk
S001C003P004R002A042,NTU,moderate_risk
S001C003P004R002A043,NTU,high_risk
S001C003P005R001A008,NTU,low_risk
S001C003P005R001A009,NTU,low_risk
S001C003P005R001A042,NTU,moderate_risk
S001C003P005R001A043,NTU,high_risk
S001C003P005R002A008,NTU,low_risk
S001C003P005R002A009,NTU,low_risk
S001C003P005R002A042,NTU,moderate_risk
S001C003P005R002A043,NTU,high_risk
S001C003P006R001A008,NTU,low_risk
S001C003P006R001A009,NTU,low_risk
S001C003P006R001A042,NTU,moderate_risk
S001C003P006R001A043,NTU,high_risk
S001C003P006R002A008,NTU,low_risk
S001C003P006R002A009,NTU,low_risk
S001C003P006R002A042,NTU,moderate_risk
S001C003P006R002A043,NTU,high_risk
S001C003P008R001A008,NTU,low_risk
S001C003P008R001A009,NTU,low_risk
S001C003P008R001A042,NTU,moderate_risk
S001C003P008R001A043,NTU,high_risk
S001C003P008R002A008,NTU,low_risk
S001C003P008R002A009,NTU,low_risk
S001C003P008R002A042,NTU,moderate_risk
S001C003P008R002A043,NTU,high_risk
S002C001P003R001A008,NTU,low_risk
S002C001P003R001A009,NTU,low_risk
S002C001P003R001A042,NTU,moderate_risk
S002C001P003R001A043,NTU,high_risk
S002C001P003R002A008,NTU,low_risk
S002C001P003R002A009,NTU,low_risk
S002C001P003R002A042,NTU,moderate_risk
S002C001P003R002A043,NTU,high_risk
S002C001P008R001A008,NTU,low_risk
S002C001P008R001A009,NTU,low_risk
S002C001P008R001A042,NTU,moderate_risk
S002C001P008R001A043,NTU,high_risk
S002C001P008R002A008,NTU,low_risk
S002C001P008R002A009,NTU,low_risk
S002C001P008R002A042,NTU,moderate_risk
S002C001P008R002A043,NTU,high_risk
S002C001P010R001A008,NTU,low_risk
S002C001P010R001A009,NTU,low_risk
S002C001P010R001A042,NTU,moderate_risk
S002C001P010R001A043,NTU,high_risk
S002C001P010R002A008,NTU,low_risk
S002C001P010R002A009,NTU,low_risk
S002C001P010R002A042,NTU,moderate_risk
S002C001P010R002A043,NTU,high_risk
S002C001P011R001A008,NTU,low_risk
S002C001P011R001A009,NTU,low_risk
S002C001P011R001A042,NTU,moderate_risk
S002C001P011R001A043,NTU,high_risk
S002C001P011R002A008,NTU,low_risk
S002C001P011R002A009,NTU,low_risk
S002C001P011R002A042,NTU,moderate_risk
S002C001P011R002A043,NTU,high_risk
S002C002P003R001A008,NTU,low_risk
S002C002P003R001A009,NTU,low_risk
S002C002P003R001A042,NTU,moderate_risk
S002C002P003R001A043,NTU,high_risk
S002C002P003R002A008,NTU,low_risk
S002C002P003R002A009,NTU,low_risk
S002C002P003R002A042,NTU,moderate_risk
S002C002P003R002A043,NTU,high_risk
S002C002P008R001A008,NTU,low_risk
S002C002P008R001A009,NTU,low_risk
S002C002P008R001A042,NTU,moderate_risk
S002C002P008R001A043,NTU,high_risk
S002C002P008R002A008,NTU,low_risk
S002C002P008R002A009,NTU,low_risk
S002C002P008R002A042,NTU,moderate_risk
S002C002P008R002A043,NTU,high_risk
S002C002P010R001A008,NTU,low_risk
S002C002P010R001A009,NTU,low_risk
S002C002P010R001A042,NTU,moderate_risk
S002C002P010R001A043,NTU,high_risk
S002C002P010R002A008,NTU,low_risk
S002C002P010R002A009,NTU,low_risk
S002C002P010R002A042,NTU,moderate_risk
S002C002P010R002A043,NTU,high_risk
S002C002P011R001A008,NTU,low_risk
S002C002P011R001A009,NTU,low_risk
S002C002P011R001A042,NTU,moderate_risk
S002C002P011R001A043,NTU,high_risk
S002C002P011R002A008,NTU,low_risk
S002C002P011R002A009,NTU,low_risk
S002C002P011R002A042,NTU,moderate_risk
S002C002P011R002A043,NTU,high_risk
S002C003P003R001A008,NTU,low_risk
S002C003P003R001A009,NTU,low_risk
S002C003P003R001A042,NTU,moderate_risk
S002C003P003R001A043,NTU,high_risk
S002C003P003R002A008,NTU,low_risk
S002C003P003R002A009,NTU,low_risk
S002C003P003R002A042,NTU,moderate_risk
S002C003P003R002A043,NTU,high_risk
S002C003P008R001A008,NTU,low_risk
S002C003P008R001A009,NTU,low_risk
S002C003P008R001A042,NTU,moderate_risk
S002C003P008R001A043,NTU,high_risk
S002C003P008R002A008,NTU,low_risk
S002C003P008R002A009,NTU,low_risk
S002C003P008R002A042,NTU,moderate_risk
S002C003P008R002A043,NTU,high_risk
S002C003P010R001A008,NTU,low_risk
S002C003P010R001A009,NTU,low_risk
S002C003P010R001A042,NTU,moderate_risk
S002C003P010R001A043,NTU,high_risk
S002C003P010R002A008,NTU,low_risk
S002C003P010R002A009,NTU,low_risk
S002C003P010R002A042,NTU,moderate_risk
S002C003P010R002A043,NTU,high_risk
S002C003P011R001A008,NTU,low_risk
S002C003P011R001A009,NTU,low_risk
S002C003P011R001A042,NTU,moderate_risk
S002C003P011R001A043,NTU,high_risk
S002C003P011R002A008,NTU,low_risk
S002C003P011R002A009,NTU,low_risk
S002C003P011R002A042,NTU,moderate_risk
S002C003P011R002A043,NTU,high_risk
S003C001P001R001A008,NTU,low_risk
S003C001P001R001A009,NTU,low_risk
S003C001P001R001A042,NTU,moderate_risk
S003C001P001R001A043,NTU,high_risk
S003C001P001R002A008,NTU,low_risk
S003C001P001R002A009,NTU,low_risk
S003C001P001R002A042,NTU,moderate_risk
S003C001P001R002A043,NTU,high_risk
S003C001P002R001A008,NTU,low_risk
S003C001P002R001A009,NTU,low_risk
S003C001P002R001A042,NTU,moderate_risk
S003C001P002R001A043,NTU,high_risk
S003C001P002R002A008,NTU,low_risk
S003C001P002R002A009,NTU,low_risk
S003C001P002R002A042,NTU,moderate_risk
S003C001P002R002A043,NTU,high_risk
S003C001P008R001A008,NTU,low_risk
S003C001P008R001A009,NTU,low_risk
S003C001P008R001A042,NTU,moderate_risk
S003C001P008R001A043,NTU,high_risk
S003C001P008R002A008,NTU,low_risk
S003C001P008R002A009,NTU,low_risk
S003C001P008R002A042,NTU,moderate_risk
S003C001P008R002A043,NTU,high_risk
S003C001P016R001A008,NTU,low_risk
S003C001P016R001A009,NTU,low_risk
S003C001P016R001A042,NTU,moderate_risk
S003C001P016R001A043,NTU,high_risk
S003C001P016R002A008,NTU,low_risk
S003C001P016R002A009,NTU,low_risk
S003C001P016R002A042,NTU,moderate_risk
S003C001P016R002A043,NTU,high_risk
S003C001P018R001A008,NTU,low_risk
S003C001P018R001A009,NTU,low_risk
S003C001P018R001A042,NTU,moderate_risk
S003C001P018R001A043,NTU,high_risk
S003C001P018R002A008,NTU,low_risk
S003C001P018R002A009,NTU,low_risk
S003C001P018R002A042,NTU,moderate_risk
S003C001P018R002A043,NTU,high_risk
S003C001P019R001A008,NTU,low_risk
S003C001P019R001A009,NTU,low_risk
S003C001P019R001A042,NTU,moderate_risk
S003C001P019R001A043,NTU,high_risk
S003C001P019R002A008,NTU,low_risk
S003C001P019R002A009,NTU,low_risk
S003C001P019R002A042,NTU,moderate_risk
S003C001P019R002A043,NTU,high_risk
S003C002P001R001A008,NTU,low_risk
S003C002P001R001A009,NTU,low_risk
S003C002P001R001A042,NTU,moderate_risk
S003C002P001R001A043,NTU,high_risk
S003C002P001R002A008,NTU,low_risk
S003C002P001R002A009,NTU,low_risk
S003C002P001R002A042,NTU,moderate_risk
S003C002P001R002A043,NTU,high_risk
S003C002P002R001A008,NTU,low_risk
S003C002P002R001A009,NTU,low_risk
S003C002P002R001A042,NTU,moderate_risk
S003C002P002R001A043,NTU,high_risk
S003C002P002R002A008,NTU,low_risk
S003C002P002R002A009,NTU,low_risk
S003C002P002R002A042,NTU,moderate_risk
S003C002P002R002A043,NTU,high_risk
S003C002P008R001A008,NTU,low_risk
S003C002P008R001A009,NTU,low_risk
S003C002P008R001A042,NTU,moderate_risk
S003C002P008R001A043,NTU,high_risk
S003C002P008R002A008,NTU,low_risk
S003C002P008R002A009,NTU,low_risk
S003C002P008R002A042,NTU,moderate_risk
S003C002P008R002A043,NTU,high_risk
S003C002P016R001A008,NTU,low_risk
S003C002P016R001A009,NTU,low_risk
S003C002P016R001A042,NTU,moderate_risk
S003C002P016R001A043,NTU,high_risk
S003C002P016R002A008,NTU,low_risk
S003C002P016R002A009,NTU,low_risk
S003C002P016R002A042,NTU,moderate_risk
S003C002P016R002A043,NTU,high_risk
S003C002P018R001A008,NTU,low_risk
S003C002P018R001A009,NTU,low_risk
S003C002P018R001A042,NTU,moderate_risk
S003C002P018R001A043,NTU,high_risk
S003C002P018R002A008,NTU,low_risk
S003C002P018R002A009,NTU,low_risk
S003C002P018R002A042,NTU,moderate_risk
S003C002P018R002A043,NTU,high_risk
S003C002P019R001A008,NTU,low_risk
S003C002P019R001A009,NTU,low_risk
S003C002P019R001A042,NTU,moderate_risk
S003C002P019R001A043,NTU,high_risk
S003C002P019R002A008,NTU,low_risk
S003C002P019R002A009,NTU,low_risk
S003C002P019R002A042,NTU,moderate_risk
S003C002P019R002A043,NTU,high_risk
S003C003P001R001A008,NTU,low_risk
S003C003P001R001A009,NTU,low_risk
S003C003P001R001A042,NTU,moderate_risk
S003C003P001R001A043,NTU,high_risk
S003C003P001R002A008,NTU,low_risk
S003C003P001R002A009,NTU,low_risk
S003C003P001R002A042,NTU,moderate_risk
S003C003P001R002A043,NTU,high_risk
S003C003P002R001A008,NTU,low_risk
S003C003P002R001A009,NTU,low_risk
S003C003P002R001A042,NTU,moderate_risk
S003C003P002R001A043,NTU,high_risk
S003C003P002R002A008,NTU,low_risk
S003C003P002R002A009,NTU,low_risk
S003C003P002R002A042,NTU,moderate_risk
S003C003P002R002A043,NTU,high_risk
S003C003P008R001A008,NTU,low_risk
S003C003P008R001A009,NTU,low_risk
S003C003P008R001A042,NTU,moderate_risk
S003C003P008R001A043,NTU,high_risk
S003C003P008R002A008,NTU,low_risk
S003C003P008R002A009,NTU,low_risk
S003C003P008R002A042,NTU,moderate_risk
S003C003P008R002A043,NTU,high_risk
S003C003P016R001A008,NTU,low_risk
S003C003P016R001A009,NTU,low_risk
S003C003P016R001A042,NTU,moderate_risk
S003C003P016R001A043,NTU,high_risk
S003C003P016R002A008,NTU,low_risk
S003C003P016R002A009,NTU,low_risk
S003C003P016R002A042,NTU,moderate_risk
S003C003P016R002A043,NTU,high_risk
S003C003P018R001A008,NTU,low_risk
S003C003P018R001A009,NTU,low_risk
S003C003P018R001A042,NTU,moderate_risk
S003C003P018R001A043,NTU,high_risk
S003C003P018R002A008,NTU,low_risk
S003C003P018R002A009,NTU,low_risk
S003C003P018R002A042,NTU,moderate_risk
S003C003P018R002A043,NTU,high_risk
S003C003P019R001A008,NTU,low_risk
S003C003P019R001A009,NTU,low_risk
S003C003P019R001A042,NTU,moderate_risk
S003C003P019R001A043,NTU,high_risk
S003C003P019R002A008,NTU,low_risk
S003C003P019R002A009,NTU,low_risk
S003C003P019R002A042,NTU,moderate_risk
S003C003P019R002A043,NTU,high_risk
S004C001P003R001A008,NTU,low_risk
S004C001P003R001A009,NTU,low_risk
S004C001P003R001A042,NTU,moderate_risk
S004C001P003R001A043,NTU,high_risk
S004C001P003R002A008,NTU,low_risk
S004C001P003R002A009,NTU,low_risk
S004C001P003R002A042,NTU,moderate_risk
S004C001P003R002A043,NTU,high_risk
S004C001P008R001A008,NTU,low_risk
S004C001P008R001A009,NTU,low_risk
S004C001P008R001A042,NTU,moderate_risk
S004C001P008R001A043,NTU,high_risk
S004C001P008R002A008,NTU,low_risk
S004C001P008R002A009,NTU,low_risk
S004C001P008R002A042,NTU,moderate_risk
S004C001P008R002A043,NTU,high_risk
S004C002P003R001A008,NTU,low_risk
S004C002P003R001A009,NTU,low_risk
S004C002P003R001A042,NTU,moderate_risk
S004C002P003R001A043,NTU,high_risk
S004C002P003R002A008,NTU,low_risk
S004C002P003R002A009,NTU,low_risk
S004C002P003R002A042,NTU,moderate_risk
S004C002P003R002A043,NTU,high_risk
S004C002P008R001A008,NTU,low_risk
S004C002P008R001A009,NTU,low_risk
S004C002P008R001A042,NTU,moderate_risk
S004C002P008R001A043,NTU,high_risk
S004C002P008R002A008,NTU,low_risk
S004C002P008R002A009,NTU,low_risk
S004C002P008R002A042,NTU,moderate_risk
S004C002P008R002A043,NTU,high_risk
S004C003P003R001A008,NTU,low_risk
S004C003P003R001A009,NTU,low_risk
S004C003P003R001A042,NTU,moderate_risk
S004C003P003R001A043,NTU,high_risk
S004C003P003R002A008,NTU,low_risk
S004C003P003R002A009,NTU,low_risk
S004C003P003R002A042,NTU,moderate_risk
S004C003P003R002A043,NTU,high_risk
S004C003P008R001A008,NTU,low_risk
S004C003P008R001A009,NTU,low_risk
S004C003P008R001A042,NTU,moderate_risk
S004C003P008R001A043,NTU,high_risk
S004C003P008R002A008,NTU,low_risk
S004C003P008R002A009,NTU,low_risk
S004C003P008R002A042,NTU,moderate_risk
S004C003P008R002A043,NTU,high_risk
S005C001P004R001A008,NTU,low_risk
S005C001P004R001A009,NTU,low_risk
S005C001P004R001A042,NTU,moderate_risk
S005C001P004R001A043,NTU,high_risk
S005C001P004R002A008,NTU,low_risk
S005C001P004R002A009,NTU,low_risk
S005C001P004R002A042,NTU,moderate_risk
S005C001P004R002A043,NTU,high_risk
S005C001P010R001A008,NTU,low_risk
S005C001P010R001A009,NTU,low_risk
S005C001P010R001A042,NTU,moderate_risk
S005C001P010R001A043,NTU,high_risk
S005C001P010R002A008,NTU,low_risk
S005C001P010R002A009,NTU,low_risk
S005C001P010R002A042,NTU,moderate_risk
S005C001P010R002A043,NTU,high_risk
S005C001P016R001A008,NTU,low_risk
S005C001P016R001A009,NTU,low_risk
S005C001P016R001A042,NTU,moderate_risk
S005C001P016R001A043,NTU,high_risk
S005C001P016R002A008,NTU,low_risk
S005C001P016R002A009,NTU,low_risk
S005C001P016R002A042,NTU,moderate_risk
S005C001P016R002A043,NTU,high_risk
S005C001P018R001A008,NTU,low_risk
S005C001P018R001A009,NTU,low_risk
S005C001P018R001A042,NTU,moderate_risk
S005C001P018R001A043,NTU,high_risk
S005C001P018R002A008,NTU,low_risk
S005C001P018R002A009,NTU,low_risk
S005C001P018R002A042,NTU,moderate_risk
S005C001P018R002A043,NTU,high_risk
S005C001P021R001A008,NTU,low_risk
S005C001P021R001A009,NTU,low_risk
S005C001P021R001A042,NTU,moderate_risk
S005C001P021R001A043,NTU,high_risk
S005C001P021R002A008,NTU,low_risk
S005C001P021R002A009,NTU,low_risk
S005C001P021R002A042,NTU,moderate_risk
S005C001P021R002A043,NTU,high_risk
S005C002P004R001A008,NTU,low_risk
S005C002P004R001A009,NTU,low_risk
S005C002P004R001A042,NTU,moderate_risk
S005C002P004R001A043,NTU,high_risk
S005C002P004R002A008,NTU,low_risk
