sequence_id,dataset,label,risk_level,pose_array_path,center_speed_mean,center_speed_max,center_speed_std,center_acceleration_mean,center_acceleration_max,center_acceleration_std,vertical_range,vertical_drop,sudden_vertical_change,torso_angle_mean,torso_angle_max,torso_angle_std,body_height_change,body_height_range,mean_joint_speed,max_joint_speed,std_joint_speed,instability_score
adl-01-cam0-rgb,UR,normal,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\normal\adl-01-cam0-rgb.npy,0.11497458,0.7161576,0.108080365,0.1654804,0.73218447,0.14992578,1.1770461,0.409636,0.7157399,12.309066,39.072266,13.721303,2.471643,8.82212,0.32058534,4.2223754,0.39718056,0.50526094
adl-02-cam0-rgb,UR,normal,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\normal\adl-02-cam0-rgb.npy,0.08169299,0.5839843,0.109319106,0.13316523,0.94046366,0.18621534,0.86324674,0.52696925,0.5119182,1.7168045,9.818641,1.8689705,6.8943853,8.498273,0.23935874,3.394498,0.37005246,0.47937155
adl-03-cam0-rgb,UR,normal,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\normal\adl-03-cam0-rgb.npy,0.15619294,1.5945882,0.25093818,0.26525506,3.122435,0.44139954,1.1276786,0.9440938,0.62211704,6.620263,24.65991,6.1136904,5.0960917,7.7101707,0.44828236,8.032284,0.7884757,1.0394139
adl-04-cam0-rgb,UR,normal,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\normal\adl-04-cam0-rgb.npy,0.09526299,0.5911451,0.08819803,0.14501943,0.6992296,0.12782605,0.62666386,0.38677114,0.57776636,30.525349,88.37084,31.981483,1.157701,7.523068,0.34290162,6.862065,0.6716978,0.7598958
adl-05-cam0-rgb,UR,normal,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\normal\adl-05-cam0-rgb.npy,0.098392084,0.5865746,0.09365833,0.15201822,0.78641045,0.14094876,1.1999283,0.8732732,0.586429,22.016428,83.27764,28.604288,5.8350744,9.154662,0.27745348,3.3871508,0.32253286,0.4161912
adl-06-cam0-rgb,UR,normal,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\normal\adl-06-cam0-rgb.npy,0.1196788,0.6584163,0.114750996,0.18110828,0.82569057,0.1624303,1.2654444,0.9378437,0.6088471,15.316312,87.09608,25.352573,8.443785,8.443785,0.30647016,4.9454045,0.3854936,0.5002446
adl-07-cam0-rgb,UR,normal,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\normal\adl-07-cam0-rgb.npy,0.11767141,0.81668496,0.13761976,0.18254179,1.6008774,0.22022319,1.0750698,0.31220335,0.7524105,2.5989532,12.672248,3.0652945,3.782155,7.764562,0.26129618,4.1314845,0.3542517,0.49187148
adl-08-cam0-rgb,UR,normal,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\normal\adl-08-cam0-rgb.npy,0.11554055,0.7254456,0.1172871,0.18540064,0.8588041,0.18402521,1.0653925,0.3503912,0.7249219,2.251621,8.378718,1.93679,4.1548567,9.868379,0.251939,4.0524073,0.32513,0.4424171
adl-09-cam0-rgb,UR,normal,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\normal\adl-09-cam0-rgb.npy,0.06247053,0.24817176,0.048581492,0.090291284,0.3211407,0.06036329,0.837806,-0.031954587,0.13094732,11.089117,46.343044,14.265954,-0.88901806,6.65411,0.2049247,2.5536406,0.23883608,0.28741756
adl-10-cam0-rgb,UR,normal,low_risk,C:\Users\VICTUS\Downloads\Research\outputs\Common_Joint_Sequences\UR\normal\adl-10-cam0-rgb.npy,0.15052833,0.5273701,0.1240762,0.21212332,0.93101805,0.18431057,1.8707399,-0.15099917,0.4750773,22.03515,63.83848,22.599749,3.264538,9.676936,0.3644545,3.3227262,0.40186483,0.525941
