sequence_id,dataset,action_code,label,risk_level,frame_count,joint_count,coordinate_count,pose_shape,pose_array_path
S001C001P001R001A008,NTU,A008,sit_down,low_risk,71,25,3,"(71, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C001P001R001A008.npy
S001C001P001R001A009,NTU,A009,stand_up,low_risk,67,25,3,"(67, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C001P001R001A009.npy
S001C001P001R001A042,NTU,A042,staggering,moderate_risk,195,25,3,"(195, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C001P001R001A042.npy
S001C001P001R001A043,NTU,A043,falling_down,high_risk,85,25,3,"(85, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C001P001R001A043.npy
S001C001P001R002A008,NTU,A008,sit_down,low_risk,79,25,3,"(79, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C001P001R002A008.npy
S001C001P001R002A009,NTU,A009,stand_up,low_risk,80,25,3,"(80, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C001P001R002A009.npy
S001C001P001R002A042,NTU,A042,staggering,moderate_risk,129,25,3,"(129, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C001P001R002A042.npy
S001C001P001R002A043,NTU,A043,falling_down,high_risk,78,25,3,"(78, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C001P001R002A043.npy
S001C001P002R001A008,NTU,A008,sit_down,low_risk,65,25,3,"(65, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C001P002R001A008.npy
S001C001P002R001A009,NTU,A009,stand_up,low_risk,62,25,3,"(62, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C001P002R001A009.npy
S001C001P002R001A042,NTU,A042,staggering,moderate_risk,94,25,3,"(94, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C001P002R001A042.npy
S001C001P002R001A043,NTU,A043,falling_down,high_risk,84,25,3,"(84, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C001P002R001A043.npy
S001C001P002R002A008,NTU,A008,sit_down,low_risk,76,25,3,"(76, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A008\S001C001P002R002A008.npy
S001C001P002R002A009,NTU,A009,stand_up,low_risk,75,25,3,"(75, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A009\S001C001P002R002A009.npy
S001C001P002R002A042,NTU,A042,staggering,moderate_risk,100,25,3,"(100, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A042\S001C001P002R002A042.npy
S001C001P002R002A043,NTU,A043,falling_down,high_risk,64,25,3,"(64, 25, 3)",C:\Users\VICTUS\Downloads\Research\outputs\NTU_Pose_Output\A043\S001C001P002R002A043.npy
