sequence_id,dataset,category,camera,label,risk_level,frame_count,detected_frames,missing_frames,pose_shape,pose_array_path,missing_ratio,quality
adl-01-cam0-rgb,UR,adl,cam0,normal,low_risk,150,132,18,"(150, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-01-cam0-rgb.npy,0.12,good
adl-02-cam0-rgb,UR,adl,cam0,normal,low_risk,180,139,41,"(180, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-02-cam0-rgb.npy,0.228,acceptable
adl-03-cam0-rgb,UR,adl,cam0,normal,low_risk,180,173,7,"(180, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-03-cam0-rgb.npy,0.039,good
adl-04-cam0-rgb,UR,adl,cam0,normal,low_risk,150,150,0,"(150, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-04-cam0-rgb.npy,0.0,excellent
adl-05-cam0-rgb,UR,adl,cam0,normal,low_risk,180,177,3,"(180, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-05-cam0-rgb.npy,0.017,good
adl-06-cam0-rgb,UR,adl,cam0,normal,low_risk,230,204,26,"(230, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-06-cam0-rgb.npy,0.113,good
adl-07-cam0-rgb,UR,adl,cam0,normal,low_risk,180,176,4,"(180, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-07-cam0-rgb.npy,0.022,good
adl-08-cam0-rgb,UR,adl,cam0,normal,low_risk,180,156,24,"(180, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-08-cam0-rgb.npy,0.133,good
adl-09-cam0-rgb,UR,adl,cam0,normal,low_risk,150,150,0,"(150, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-09-cam0-rgb.npy,0.0,excellent
adl-10-cam0-rgb,UR,adl,cam0,normal,low_risk,300,288,12,"(300, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-10-cam0-rgb.npy,0.04,good
adl-11-cam0-rgb,UR,adl,cam0,normal,low_risk,300,251,49,"(300, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-11-cam0-rgb.npy,0.163,good
adl-12-cam0-rgb,UR,adl,cam0,normal,low_risk,250,185,65,"(250, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-12-cam0-rgb.npy,0.26,acceptable
adl-14-cam0-rgb,UR,adl,cam0,normal,low_risk,235,170,65,"(235, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-14-cam0-rgb.npy,0.277,acceptable
adl-15-cam0-rgb,UR,adl,cam0,normal,low_risk,275,180,95,"(275, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-15-cam0-rgb.npy,0.345,acceptable
adl-17-cam0-rgb,UR,adl,cam0,normal,low_risk,230,150,80,"(230, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-17-cam0-rgb.npy,0.348,acceptable
fall-01-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,160,123,37,"(160, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-01-cam0-rgb.npy,0.231,acceptable
fall-02-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,110,99,11,"(110, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-02-cam0-rgb.npy,0.1,good
fall-03-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,215,190,25,"(215, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-03-cam0-rgb.npy,0.116,good
fall-05-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,151,119,32,"(151, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-05-cam0-rgb.npy,0.212,acceptable
fall-06-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,100,100,0,"(100, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-06-cam0-rgb.npy,0.0,excellent
fall-07-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,156,137,19,"(156, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-07-cam0-rgb.npy,0.122,good
fall-08-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,91,91,0,"(91, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-08-cam0-rgb.npy,0.0,excellent
fall-09-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,185,158,27,"(185, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-09-cam0-rgb.npy,0.146,good
fall-10-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,130,93,37,"(130, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-10-cam0-rgb.npy,0.285,acceptable
fall-11-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,130,130,0,"(130, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-11-cam0-rgb.npy,0.0,excellent
fall-12-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,110,110,0,"(110, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-12-cam0-rgb.npy,0.0,excellent
fall-13-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,85,84,1,"(85, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-13-cam0-rgb.npy,0.012,good
fall-14-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,61,60,1,"(61, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-14-cam0-rgb.npy,0.016,good
fall-15-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,71,53,18,"(71, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-15-cam0-rgb.npy,0.254,acceptable
fall-16-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,55,55,0,"(55, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-16-cam0-rgb.npy,0.0,excellent
fall-17-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,95,82,13,"(95, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-17-cam0-rgb.npy,0.137,good
fall-18-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,65,44,21,"(65, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-18-cam0-rgb.npy,0.323,acceptable
fall-20-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,110,110,0,"(110, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-20-cam0-rgb.npy,0.0,excellent
fall-02-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,110,85,25,"(110, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-02-cam1-rgb.npy,0.227,acceptable
fall-04-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,96,94,2,"(96, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-04-cam1-rgb.npy,0.021,good
fall-06-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,100,100,0,"(100, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-06-cam1-rgb.npy,0.0,excellent
fall-07-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,156,118,38,"(156, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-07-cam1-rgb.npy,0.244,acceptable
fall-08-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,91,80,11,"(91, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-08-cam1-rgb.npy,0.121,good
fall-09-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,185,117,68,"(185, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-09-cam1-rgb.npy,0.368,acceptable
fall-10-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,130,129,1,"(130, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-10-cam1-rgb.npy,0.008,good
fall-11-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,130,106,24,"(130, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-11-cam1-rgb.npy,0.185,good
fall-12-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,110,109,1,"(110, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-12-cam1-rgb.npy,0.009,good
fall-14-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,61,50,11,"(61, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-14-cam1-rgb.npy,0.18,good
fall-18-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,65,50,15,"(65, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-18-cam1-rgb.npy,0.231,acceptable
fall-20-cam1-rgb,UR,fall_cam1,cam1,fall,high_risk,110,103,7,"(110, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam1\fall-20-cam1-rgb.npy,0.064,good
