epoch,train_loss,val_loss,val_macro_f1,fall_recall,fall_precision
1,0.5583,0.3661,0.8312,0.9795,0.6356
2,0.3741,0.2128,0.8735,0.9658,0.7157
3,0.2894,0.1713,0.9222,0.9726,0.8161
4,0.2739,0.1565,0.9336,0.9521,0.8580
5,0.2432,0.1482,0.9277,0.9589,0.8383
6,0.2434,0.1470,0.9462,0.9521,0.8910
7,0.2236,0.1419,0.9277,0.9589,0.8383
8,0.2309,0.1421,0.9380,0.9589,0.8642
9,0.2129,0.1443,0.9422,0.9589,0.8750
10,0.2027,0.1416,0.9398,0.9521,0.8742
11,0.2167,0.1457,0.9457,0.9384,0.9013
12,0.2064,0.1363,0.9436,0.9384,0.8954
13,0.2082,0.1365,0.9414,0.9384,0.8896
14,0.2077,0.1354,0.9398,0.9521,0.8742
15,0.2053,0.1375,0.9419,0.9521,0.8797
16,0.2176,0.1247,0.9393,0.9384,0.8839
