epoch,train_loss,val_loss,val_macro_f1,fall_recall,fall_precision
1,0.5633,0.3720,0.9372,0.9633,0.8582
2,0.3926,0.2008,0.9483,0.9592,0.8902
3,0.3047,0.1477,0.9622,0.9551,0.9323
4,0.2634,0.1310,0.9648,0.9551,0.9398
5,0.2480,0.1205,0.9634,0.9510,0.9395
6,0.2418,0.1177,0.9659,0.9469,0.9508
7,0.2454,0.1222,0.9672,0.9429,0.9585
8,0.2168,0.1188,0.9685,0.9429,0.9625
9,0.2117,0.1233,0.9670,0.9347,0.9662
10,0.2301,0.1173,0.9685,0.9429,0.9625
11,0.2145,0.1305,0.9669,0.9306,0.9702
12,0.1948,0.1336,0.9683,0.9347,0.9703
13,0.2086,0.1278,0.9684,0.9388,0.9664
14,0.1970,0.1311,0.9697,0.9388,0.9705
15,0.1965,0.1200,0.9698,0.9429,0.9665
16,0.1987,0.1330,0.9669,0.9306,0.9702
17,0.1860,0.1376,0.9655,0.9265,0.9701
18,0.1902,0.1244,0.9685,0.9429,0.9625
19,0.1879,0.1401,0.9640,0.9224,0.9700
20,0.1945,0.1328,0.9656,0.9306,0.9661
21,0.2038,0.1214,0.9685,0.9429,0.9625
22,0.1699,0.1306,0.9627,0.9224,0.9658
23,0.1805,0.1555,0.9552,0.8939,0.9733
24,0.1867,0.1354,0.9628,0.9265,0.9619
25,0.2019,0.1138,0.9685,0.9429,0.9625
