epoch,train_loss,train_acc,val_loss,val_macro_f1,fall_recall,fall_precision,normal_recall
1,0.4191,84.14,0.1810,0.9452,0.9247,0.9122,0.9698
2,0.3261,87.33,0.2104,0.9312,0.9452,0.8571,0.9466
3,0.2834,89.23,0.2156,0.9165,0.8973,0.8562,0.9490
4,0.2161,92.31,0.1399,0.9524,0.9452,0.9139,0.9698
5,0.2396,91.20,0.1357,0.9526,0.9521,0.9085,0.9675
6,0.1860,93.24,0.1032,0.9615,0.9589,0.9272,0.9745
7,0.1947,92.72,0.1178,0.9507,0.9589,0.8974,0.9629
8,0.1814,92.94,0.1260,0.9492,0.9795,0.8773,0.9536
9,0.1737,93.68,0.1400,0.9422,0.9589,0.8750,0.9536
10,0.1926,92.20,0.1926,0.9128,0.9452,0.8118,0.9258
11,0.1714,93.09,0.1898,0.9072,0.9521,0.7943,0.9165
12,0.1523,94.21,0.1623,0.9424,0.9658,0.8704,0.9513
13,0.1368,94.80,0.1391,0.9424,0.9658,0.8704,0.9513
14,0.1492,94.17,0.1274,0.9513,0.9795,0.8827,0.9559
15,0.1449,94.80,0.1446,0.9530,0.9658,0.8981,0.9629
16,0.1319,94.61,0.1100,0.9616,0.9658,0.9216,0.9722
17,0.1341,95.36,0.1156,0.9427,0.9726,0.8659,0.9490
18,0.1405,94.80,0.1334,0.9509,0.9658,0.8924,0.9606
19,0.1263,95.58,0.1042,0.9469,0.9726,0.8765,0.9536
20,0.1266,95.99,0.1096,0.9445,0.9658,0.8758,0.9536
21,0.1197,95.91,0.0937,0.9643,0.9863,0.9114,0.9675
22,0.1216,95.62,0.1031,0.9575,0.9726,0.9045,0.9652
23,0.0964,97.29,0.0997,0.9552,0.9658,0.9038,0.9652
24,0.1032,96.77,0.1507,0.9341,0.9658,0.8494,0.9420
25,0.1080,96.51,0.1540,0.9185,0.9795,0.8034,0.9188
26,0.1012,96.36,0.0837,0.9598,0.9795,0.9051,0.9652
27,0.1168,96.14,0.1064,0.9530,0.9658,0.8981,0.9629
28,0.0918,97.14,0.0730,0.9641,0.9795,0.9167,0.9698
29,0.0941,97.07,0.1350,0.9571,0.9589,0.9150,0.9698
30,0.0998,96.55,0.1047,0.9593,0.9589,0.9211,0.9722
31,0.1123,96.58,0.1357,0.9191,0.9932,0.7967,0.9142
