epoch,train_loss,train_acc,val_loss,val_macro_f1,fall_recall,fall_precision,normal_recall
1,0.4735,80.86,0.2384,0.9441,0.9143,0.9180,0.9728
2,0.3277,87.01,0.1306,0.9673,0.9469,0.9547,0.9850
3,0.2692,88.92,0.2837,0.7817,0.9551,0.5652,0.7551
4,0.2525,89.39,0.1326,0.9658,0.9388,0.9583,0.9864
5,0.2350,90.37,0.1327,0.9697,0.9388,0.9705,0.9905
6,0.2022,91.90,0.1215,0.9686,0.9469,0.9587,0.9864
7,0.2115,90.96,0.0958,0.9726,0.9510,0.9668,0.9891
8,0.1991,92.05,0.1092,0.9672,0.9429,0.9585,0.9864
9,0.1835,92.45,0.1461,0.9697,0.9388,0.9705,0.9905
10,0.1699,93.82,0.1160,0.9726,0.9510,0.9668,0.9891
11,0.1736,93.58,0.1238,0.9682,0.9306,0.9744,0.9918
12,0.1534,94.25,0.0801,0.9741,0.9592,0.9631,0.9878
13,0.1483,94.64,0.0850,0.9756,0.9714,0.9558,0.9850
14,0.1401,94.79,0.0750,0.9717,0.9714,0.9444,0.9810
15,0.1400,94.91,0.0796,0.9703,0.9673,0.9442,0.9810
16,0.1312,95.26,0.0892,0.9726,0.9469,0.9707,0.9905
17,0.1406,95.34,0.0980,0.9754,0.9592,0.9671,0.9891
18,0.1373,95.19,0.0976,0.9524,0.9714,0.8914,0.9605
19,0.1203,96.09,0.0817,0.9679,0.9755,0.9300,0.9755
20,0.1286,96.40,0.0555,0.9797,0.9755,0.9637,0.9878
21,0.1227,96.05,0.0960,0.9701,0.9551,0.9551,0.9850
22,0.1116,96.44,0.0843,0.9730,0.9714,0.9482,0.9823
23,0.0939,96.91,0.0693,0.9729,0.9673,0.9518,0.9837
24,0.0953,96.36,0.0752,0.9785,0.9878,0.9490,0.9823
25,0.1002,97.22,0.0520,0.9783,0.9714,0.9636,0.9878
26,0.0849,96.79,0.0893,0.9670,0.9347,0.9662,0.9891
27,0.0836,97.06,0.0674,0.9688,0.9592,0.9476,0.9823
28,0.0959,96.83,0.0811,0.9731,0.9755,0.9447,0.9810
29,0.0829,97.53,0.0723,0.9728,0.9592,0.9592,0.9864
30,0.0836,97.22,0.0522,0.9756,0.9673,0.9595,0.9864
