sequence_id,dataset,category,camera,label,risk_level,frame_count,detected_frames,missing_frames,pose_shape,pose_array_path
adl-01-cam0-rgb,UR,adl,cam0,normal,low_risk,150,132,18,"(150, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-01-cam0-rgb.npy
adl-02-cam0-rgb,UR,adl,cam0,normal,low_risk,180,139,41,"(180, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-02-cam0-rgb.npy
adl-03-cam0-rgb,UR,adl,cam0,normal,low_risk,180,173,7,"(180, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-03-cam0-rgb.npy
adl-04-cam0-rgb,UR,adl,cam0,normal,low_risk,150,150,0,"(150, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-04-cam0-rgb.npy
adl-05-cam0-rgb,UR,adl,cam0,normal,low_risk,180,177,3,"(180, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-05-cam0-rgb.npy
adl-06-cam0-rgb,UR,adl,cam0,normal,low_risk,230,204,26,"(230, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-06-cam0-rgb.npy
adl-07-cam0-rgb,UR,adl,cam0,normal,low_risk,180,176,4,"(180, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-07-cam0-rgb.npy
adl-08-cam0-rgb,UR,adl,cam0,normal,low_risk,180,156,24,"(180, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-08-cam0-rgb.npy
adl-09-cam0-rgb,UR,adl,cam0,normal,low_risk,150,150,0,"(150, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-09-cam0-rgb.npy
adl-10-cam0-rgb,UR,adl,cam0,normal,low_risk,300,288,12,"(300, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-10-cam0-rgb.npy
adl-11-cam0-rgb,UR,adl,cam0,normal,low_risk,300,251,49,"(300, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-11-cam0-rgb.npy
adl-12-cam0-rgb,UR,adl,cam0,normal,low_risk,250,185,65,"(250, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-12-cam0-rgb.npy
adl-13-cam0-rgb,UR,adl,cam0,normal,low_risk,265,136,129,"(265, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-13-cam0-rgb.npy
adl-14-cam0-rgb,UR,adl,cam0,normal,low_risk,235,170,65,"(235, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-14-cam0-rgb.npy
adl-15-cam0-rgb,UR,adl,cam0,normal,low_risk,275,180,95,"(275, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-15-cam0-rgb.npy
adl-16-cam0-rgb,UR,adl,cam0,normal,low_risk,240,127,113,"(240, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-16-cam0-rgb.npy
adl-17-cam0-rgb,UR,adl,cam0,normal,low_risk,230,150,80,"(230, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-17-cam0-rgb.npy
adl-18-cam0-rgb,UR,adl,cam0,normal,low_risk,265,131,134,"(265, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-18-cam0-rgb.npy
adl-19-cam0-rgb,UR,adl,cam0,normal,low_risk,250,102,148,"(250, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-19-cam0-rgb.npy
adl-20-cam0-rgb,UR,adl,cam0,normal,low_risk,270,140,130,"(270, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\adl\adl-20-cam0-rgb.npy
fall-01-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,160,123,37,"(160, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-01-cam0-rgb.npy
fall-02-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,110,99,11,"(110, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-02-cam0-rgb.npy
fall-03-cam0-rgb,UR,fall_cam0,cam0,fall,high_risk,215,190,25,"(215, 33, 4)",C:\Users\VICTUS\Downloads\Research\outputs\UR_Pose_Output\fall_cam0\fall-03-cam0-rgb.npy
