sequence_id,category,label,status,pose_shape,total_frames,missing_frames,missing_ratio,quality
adl-01-cam0-rgb,adl,normal,ok,"(150, 33, 4)",150,18,0.12,good
adl-02-cam0-rgb,adl,normal,ok,"(180, 33, 4)",180,41,0.228,acceptable
adl-03-cam0-rgb,adl,normal,ok,"(180, 33, 4)",180,7,0.039,good
adl-04-cam0-rgb,adl,normal,ok,"(150, 33, 4)",150,0,0.0,excellent
adl-05-cam0-rgb,adl,normal,ok,"(180, 33, 4)",180,3,0.017,good
adl-06-cam0-rgb,adl,normal,ok,"(230, 33, 4)",230,26,0.113,good
adl-07-cam0-rgb,adl,normal,ok,"(180, 33, 4)",180,4,0.022,good
adl-08-cam0-rgb,adl,normal,ok,"(180, 33, 4)",180,24,0.133,good
adl-09-cam0-rgb,adl,normal,ok,"(150, 33, 4)",150,0,0.0,excellent
adl-10-cam0-rgb,adl,normal,ok,"(300, 33, 4)",300,12,0.04,good
adl-11-cam0-rgb,adl,normal,ok,"(300, 33, 4)",300,49,0.163,good
adl-12-cam0-rgb,adl,normal,ok,"(250, 33, 4)",250,65,0.26,acceptable
adl-13-cam0-rgb,adl,normal,ok,"(265, 33, 4)",265,129,0.487,weak
adl-14-cam0-rgb,adl,normal,ok,"(235, 33, 4)",235,65,0.277,acceptable
adl-15-cam0-rgb,adl,normal,ok,"(275, 33, 4)",275,95,0.345,acceptable
adl-16-cam0-rgb,adl,normal,ok,"(240, 33, 4)",240,113,0.471,weak
adl-17-cam0-rgb,adl,normal,ok,"(230, 33, 4)",230,80,0.348,acceptable
adl-18-cam0-rgb,adl,normal,ok,"(265, 33, 4)",265,134,0.506,weak
adl-19-cam0-rgb,adl,normal,ok,"(250, 33, 4)",250,148,0.592,weak
adl-20-cam0-rgb,adl,normal,ok,"(270, 33, 4)",270,130,0.481,weak
fall-01-cam0-rgb,fall_cam0,fall,ok,"(160, 33, 4)",160,37,0.231,acceptable
fall-02-cam0-rgb,fall_cam0,fall,ok,"(110, 33, 4)",110,11,0.1,good
fall-03-cam0-rgb,fall_cam0,fall,ok,"(215, 33, 4)",215,25,0.116,good
fall-04-cam0-rgb,fall_cam0,fall,ok,"(96, 33, 4)",96,40,0.417,weak
fall-05-cam0-rgb,fall_cam0,fall,ok,"(151, 33, 4)",151,32,0.212,acceptable
fall-06-cam0-rgb,fall_cam0,fall,ok,"(100, 33, 4)",100,0,0.0,excellent
fall-07-cam0-rgb,fall_cam0,fall,ok,"(156, 33, 4)",156,19,0.122,good
fall-08-cam0-rgb,fall_cam0,fall,ok,"(91, 33, 4)",91,0,0.0,excellent
fall-09-cam0-rgb,fall_cam0,fall,ok,"(185, 33, 4)",185,27,0.146,good
fall-10-cam0-rgb,fall_cam0,fall,ok,"(130, 33, 4)",130,37,0.285,acceptable
fall-11-cam0-rgb,fall_cam0,fall,ok,"(130, 33, 4)",130,0,0.0,excellent
fall-12-cam0-rgb,fall_cam0,fall,ok,"(110, 33, 4)",110,0,0.0,excellent
fall-13-cam0-rgb,fall_cam0,fall,ok,"(85, 33, 4)",85,1,0.012,good
fall-14-cam0-rgb,fall_cam0,fall,ok,"(61, 33, 4)",61,1,0.016,good
fall-15-cam0-rgb,fall_cam0,fall,ok,"(71, 33, 4)",71,18,0.254,acceptable
fall-16-cam0-rgb,fall_cam0,fall,ok,"(55, 33, 4)",55,0,0.0,excellent
fall-17-cam0-rgb,fall_cam0,fall,ok,"(95, 33, 4)",95,13,0.137,good
fall-18-cam0-rgb,fall_cam0,fall,ok,"(65, 33, 4)",65,21,0.323,acceptable
fall-19-cam0-rgb,fall_cam0,fall,ok,"(100, 33, 4)",100,49,0.49,weak
fall-20-cam0-rgb,fall_cam0,fall,ok,"(110, 33, 4)",110,0,0.0,excellent
fall-01-cam1-rgb,fall_cam1,fall,ok,"(160, 33, 4)",160,95,0.594,weak
fall-02-cam1-rgb,fall_cam1,fall,ok,"(110, 33, 4)",110,25,0.227,acceptable
